photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,113,21,64,99,49,99,76,204,144,232,82,97,78,198,134,221,37,289,23,294,85,415,22,555,59,285,119,397,76,522,101,8,-1,-1,76,23,-1,-1,109,548,108,540,65,537,62,590,49,592,6,559
2,91,20,54,98,43,98,82,198,145,198,67,98,74,200,132,185,37,295,19,300,79,420,18,552,53,288,109,407,66,528,87,8,-1,-1,64,25,-1,-1,95,548,90,537,55,537,53,590,41,592,5,558
3,68,82,41,153,33,154,71,226,112,209,50,151,64,251,104,212,33,340,19,344,62,441,16,557,44,331,84,429,48,537,62,76,-1,-1,47,85,-1,-1,69,551,68,543,43,545,40,591,32,593,4,561
4,82,24,49,99,39,99,97,147,145,108,60,98,90,190,141,128,41,312,27,315,82,425,17,546,58,310,107,416,60,526,78,8,-1,-1,58,24,-1,-1,87,543,83,539,50,539,49,590,39,592,5,556
5,81,24,47,100,40,100,107,105,145,39,56,100,103,176,133,81,46,314,32,319,84,433,21,548,62,313,105,429,60,531,75,8,-1,-1,54,24,-1,-1,87,549,84,544,52,544,47,592,35,592,5,556
6,86,18,52,89,40,89,115,72,145,10,66,89,121,150,139,37,52,311,38,316,93,430,20,547,68,306,114,430,60,540,78,8,-1,-1,59,13,-1,-1,90,547,88,542,53,547,53,592,40,592,5,558
7,93,39,53,99,49,102,125,77,144,8,60,96,111,145,-1,-1,59,312,41,315,99,436,20,550,74,310,123,433,68,537,85,24,-1,-1,60,35,-1,-1,98,550,95,546,59,550,55,592,38,591,6,556
8,86,49,53,104,53,104,120,76,131,7,58,101,138,89,145,12,60,310,46,312,90,440,20,555,76,307,116,437,64,542,80,39,-1,-1,61,46,-1,-1,97,554,91,545,60,547,58,593,42,593,5,561
9,92,60,63,112,56,115,127,76,135,7,66,108,135,94,144,25,69,305,54,310,95,445,23,556,84,305,121,441,69,539,82,50,-1,-1,65,57,-1,-1,109,556,101,546,65,552,63,592,48,593,6,558
10,80,64,62,116,49,110,114,69,124,7,78,116,145,141,145,35,68,298,53,298,78,442,22,556,86,298,106,434,64,541,77,53,80,53,55,57,-1,-1,95,560,92,556,53,556,52,593,37,593,5,559
11,74,68,54,118,43,114,97,70,109,6,67,118,122,125,145,70,67,289,54,289,64,425,20,545,80,289,93,423,59,541,69,62,-1,-1,52,68,-1,-1,83,560,83,557,55,547,45,594,33,591,5,552
12,77,67,48,111,33,110,106,73,125,6,72,111,125,102,144,44,66,275,50,277,50,402,22,541,81,275,92,406,66,531,67,61,-1,-1,48,71,-1,-1,81,564,91,559,58,541,44,594,28,592,6,544
13,60,75,37,122,19,122,80,73,110,6,63,122,120,117,145,48,52,283,37,285,33,411,18,544,70,283,74,411,61,535,50,73,-1,-1,32,81,-1,-1,74,579,80,572,48,546,33,594,17,593,5,547
14,57,84,39,131,15,131,75,76,110,6,64,128,115,100,145,55,54,292,36,292,31,420,15,548,72,287,72,418,61,532,51,81,-1,-1,31,94,-1,-1,75,569,85,563,51,538,31,594,16,589,5,550
15,59,92,38,134,16,137,73,71,105,6,59,129,102,86,145,49,54,294,36,295,42,414,15,542,72,291,73,414,62,526,51,83,-1,-1,29,96,-1,-1,86,576,88,566,48,532,34,594,20,591,5,548
16,44,95,30,140,8,141,58,79,93,6,52,135,84,83,118,40,45,299,32,301,32,420,10,545,59,299,62,422,54,532,36,94,-1,-1,20,103,-1,-1,71,575,74,566,44,537,28,594,15,591,5,549
17,36,96,23,141,4,141,49,78,76,6,39,138,74,84,100,39,37,297,25,297,32,422,12,542,53,296,56,425,46,532,32,90,-1,-1,14,102,-1,-1,60,574,67,569,36,541,25,594,14,589,4,551
18,51,101,33,148,6,149,68,79,106,6,57,146,99,92,144,33,55,301,38,302,45,424,22,550,73,296,83,422,67,537,48,92,-1,-1,22,107,-1,-1,84,578,93,569,52,548,45,594,32,594,16,553
