photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,94,20,53,96,90,92,132,193,144,232,13,106,10,188,-1,-1,44,294,73,291,95,418,90,568,13,294,37,437,13,562,83,8,-1,-1,65,24,-1,-1,46,568,41,567,6,582,124,586,118,592,78,586
2,87,18,49,97,82,94,125,183,145,183,13,107,9,192,-1,-1,41,291,66,291,89,425,77,576,15,294,38,442,15,562,77,8,-1,-1,60,26,-1,-1,42,566,39,565,5,580,113,585,107,592,67,592
3,83,15,46,96,77,93,129,179,145,164,12,107,53,194,111,179,40,298,63,298,89,426,74,576,13,298,37,441,12,560,74,8,-1,-1,59,24,-1,-1,41,565,37,562,5,577,111,582,104,591,64,592
4,84,12,47,97,82,95,132,152,145,122,16,102,-1,-1,-1,-1,43,297,66,297,96,430,74,573,17,298,37,447,13,566,73,8,-1,-1,58,25,-1,-1,40,570,37,567,5,583,109,588,105,592,66,592
5,85,20,52,98,86,95,139,142,145,94,25,105,-1,-1,-1,-1,49,300,73,297,97,427,77,572,25,302,42,452,16,561,75,8,-1,-1,60,25,-1,-1,41,570,38,566,5,578,111,586,104,592,67,589
6,85,21,51,97,78,97,145,116,137,59,27,98,84,122,112,82,50,301,72,298,100,432,77,575,27,302,44,453,16,557,77,8,-1,-1,62,25,-1,-1,40,572,38,568,5,578,112,586,103,592,65,592
7,83,11,54,96,77,94,145,96,133,26,30,96,78,102,102,27,49,302,70,301,99,445,78,574,27,302,44,453,15,570,77,8,-1,-1,59,26,-1,-1,41,571,38,570,5,587,109,590,102,592,66,592
8,86,21,52,94,75,94,145,76,128,8,30,94,84,90,99,19,52,303,75,303,102,440,77,576,30,305,49,452,17,560,77,10,-1,-1,62,27,-1,-1,42,573,41,567,5,579,110,589,102,592,65,590
9,86,37,52,108,71,107,145,81,120,8,31,110,88,89,97,27,53,307,76,307,101,438,75,574,31,308,50,453,17,560,78,29,-1,-1,64,46,-1,-1,42,574,40,566,5,579,109,588,100,592,65,589
10,85,39,55,111,73,110,145,72,112,8,32,114,86,92,91,26,58,307,78,304,96,439,73,574,33,308,46,450,13,561,76,30,-1,-1,61,48,-1,-1,40,574,35,571,5,579,108,589,99,592,65,585
11,87,40,59,114,82,107,145,67,114,7,34,117,85,89,88,26,59,307,83,307,99,438,82,568,34,307,45,446,18,553,79,32,-1,-1,67,50,-1,-1,45,572,39,568,5,568,112,585,102,593,71,581
12,89,42,59,113,79,112,145,69,117,7,38,116,88,80,95,23,59,304,85,303,98,436,84,567,33,304,41,441,17,551,84,39,-1,-1,67,49,-1,-1,43,578,38,573,5,567,110,593,109,593,72,577
13,85,43,56,110,79,109,144,68,126,7,32,110,85,76,96,17,56,288,81,287,97,422,84,549,29,288,34,421,13,530,81,39,-1,-1,62,52,-1,-1,32,574,27,571,6,548,110,593,-1,-1,72,563
14,86,54,53,128,77,122,144,75,137,7,21,128,86,90,107,12,53,303,73,303,88,433,90,563,22,303,32,430,14,551,73,49,-1,-1,57,69,-1,-1,29,593,19,590,6,569,70,563,77,563,90,578
15,83,72,50,131,81,128,134,80,144,6,18,137,85,75,117,17,47,303,68,303,85,428,89,559,18,303,27,428,14,537,70,69,-1,-1,55,89,-1,-1,20,594,16,591,6,554,70,551,76,549,96,577
16,69,83,39,142,68,133,113,74,144,6,11,146,87,74,114,26,37,308,64,308,69,442,84,566,9,308,19,433,6,546,60,80,-1,-1,48,100,-1,-1,19,594,8,590,6,560,62,561,68,557,85,584
17,71,85,41,138,71,130,109,58,144,6,7,149,106,58,133,20,38,311,67,308,76,437,85,569,9,311,19,436,7,542,67,85,-1,-1,51,100,-1,-1,21,594,15,591,6,556,67,560,70,559,94,585
18,76,79,42,136,73,135,112,64,144,6,11,145,109,58,143,16,42,308,66,308,79,440,92,565,11,309,21,436,11,542,70,76,-1,-1,55,92,-1,-1,25,594,18,592,6,556,73,558,74,558,95,584
19,76,76,38,134,69,129,110,76,144,6,6,141,93,76,-1,-1,40,304,66,302,78,436,91,558,9,307,16,436,9,537,69,75,-1,-1,53,91,-1,-1,25,594,19,592,6,552,73,556,76,555,95,575
20,71,73,38,135,67,126,115,71,144,6,6,139,91,71,135,20,38,308,67,303,73,441,86,562,8,309,20,435,8,541,67,72,-1,-1,50,88,-1,-1,24,594,20,589,6,549,70,562,71,560,89,581
21,78,73,38,127,69,126,117,73,144,6,11,138,96,71,141,10,41,310,67,310,80,439,89,564,17,312,23,429,15,543,67,71,-1,-1,52,88,-1,-1,29,594,23,594,6,549,69,559,72,559,95,581
22,74,72,40,128,64,126,115,76,145,6,14,133,94,67,136,12,41,308,64,306,76,440,86,561,14,312,27,436,14,546,67,66,-1,-1,49,80,-1,-1,29,594,19,592,5,561,59,568,64,565,88,579
23,75,66,44,128,72,119,127,69,145,7,16,132,90,75,131,20,46,313,68,310,79,450,78,576,20,314,30,436,15,556,72,62,-1,-1,51,78,-1,-1,33,589,30,585,5,572,91,593,98,593,78,592
