photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,98,17,57,88,93,88,121,190,144,210,25,90,13,178,-1,-1,46,285,73,286,95,425,84,575,18,285,40,439,14,563,92,8,-1,-1,70,22,-1,-1,52,568,47,563,6,581,121,586,115,592,74,591
2,91,16,53,95,88,94,124,192,145,203,20,98,17,182,-1,-1,49,291,73,291,91,425,78,577,23,288,43,438,17,559,86,8,-1,-1,67,25,-1,-1,46,569,41,561,5,577,114,588,106,592,68,592
3,90,14,52,97,87,95,132,181,145,155,25,100,21,191,-1,-1,49,295,73,295,98,422,78,575,26,295,45,438,17,558,84,8,-1,-1,66,28,-1,-1,45,564,41,561,5,577,112,580,108,589,67,592
4,85,13,54,93,82,93,136,160,145,123,27,97,-1,-1,-1,-1,51,296,73,296,96,423,75,572,28,298,50,439,16,557,81,8,-1,-1,63,25,-1,-1,41,564,40,559,5,576,106,584,102,592,66,587
5,86,11,56,95,84,95,145,133,143,77,30,95,74,141,-1,-1,51,300,73,300,99,428,75,574,29,300,50,452,17,557,80,8,-1,-1,64,26,-1,-1,43,568,40,561,5,576,108,582,103,592,64,592
6,84,16,59,92,81,92,145,110,136,47,37,94,70,121,-1,-1,52,300,73,300,99,431,73,574,30,300,50,447,16,556,79,8,-1,-1,61,27,-1,-1,43,568,38,560,5,574,105,589,99,592,64,590
7,84,13,58,94,77,94,145,88,130,22,40,94,84,91,103,30,54,298,72,298,99,440,73,574,34,298,53,448,16,557,78,8,-1,-1,64,29,-1,-1,42,566,39,560,5,574,104,581,100,592,64,590
8,84,25,58,98,72,100,145,81,124,8,43,98,92,87,102,19,56,299,74,299,99,443,72,575,36,304,53,448,16,557,79,17,-1,-1,61,38,-1,-1,42,573,39,568,5,573,106,589,97,592,61,589
9,89,38,63,108,84,108,145,74,121,8,41,108,88,91,96,21,61,308,81,305,102,444,76,574,40,308,52,444,17,553,83,32,-1,-1,66,53,-1,-1,41,567,40,564,5,567,110,582,102,592,65,582
10,85,37,60,109,85,109,145,71,114,7,37,112,90,89,96,19,59,302,82,302,99,435,72,570,36,304,48,439,16,552,79,36,-1,-1,63,54,-1,-1,43,570,37,567,5,567,109,588,97,593,62,584
11,87,37,63,108,87,105,145,72,117,7,38,109,88,79,96,20,62,293,85,293,100,428,76,561,37,293,46,428,15,543,78,37,-1,-1,63,55,-1,-1,37,570,35,563,5,558,109,587,100,593,65,574
12,86,46,61,111,80,109,145,67,124,7,39,113,89,74,99,15,61,284,83,284,98,420,82,554,39,287,45,416,15,542,79,42,-1,-1,65,58,-1,-1,40,572,36,568,5,551,110,593,101,593,73,564
13,86,62,58,131,86,126,145,80,131,7,32,131,88,83,105,16,60,303,85,303,88,436,86,566,36,301,39,432,16,553,77,60,-1,-1,63,79,-1,-1,33,593,30,593,5,566,69,570,72,570,88,586
14,84,62,56,124,84,123,134,69,144,7,30,132,86,81,115,9,56,304,84,304,90,433,94,559,36,304,37,427,17,544,74,62,-1,-1,64,81,-1,-1,37,593,29,592,6,556,79,554,86,552,95,571
15,77,90,57,145,82,142,125,80,144,6,22,150,104,71,140,11,52,311,76,311,87,439,91,558,24,311,27,438,12,548,74,90,-1,-1,57,109,-1,-1,27,594,22,591,6,558,72,555,76,553,92,571
16,77,85,46,149,77,138,111,63,144,6,14,153,108,63,142,13,44,314,75,314,80,438,92,564,23,314,25,437,8,544,71,85,-1,-1,58,103,-1,-1,23,594,13,592,6,560,64,560,73,560,94,584
17,82,86,55,142,82,139,115,63,144,6,22,151,115,58,144,18,46,314,76,314,88,442,95,568,22,315,24,442,15,553,77,84,-1,-1,60,101,-1,-1,29,594,22,594,6,565,74,562,77,559,104,589
18,89,58,54,129,82,125,115,64,143,7,21,131,113,55,143,16,52,299,78,298,94,431,101,566,24,301,24,431,17,547,78,59,-1,-1,61,80,-1,-1,28,593,21,593,7,559,80,559,82,559,110,587
19,78,72,55,129,84,127,124,70,144,6,17,140,109,61,138,19,48,308,76,308,83,437,95,565,21,308,24,436,12,544,72,70,-1,-1,57,91,-1,-1,32,594,24,590,6,553,76,562,78,562,104,584
20,84,64,47,123,84,121,141,71,143,6,9,132,90,81,141,13,47,303,71,303,87,435,99,561,12,304,23,432,11,540,71,64,-1,-1,54,82,-1,-1,28,594,19,588,7,555,72,561,80,558,103,579
21,87,54,48,119,81,118,144,72,141,7,10,127,87,76,125,16,45,304,70,301,87,438,96,568,16,304,28,432,13,553,72,53,-1,-1,54,72,-1,-1,31,593,16,591,6,569,70,569,72,569,102,586
22,81,46,50,105,84,101,144,65,135,7,21,114,81,72,113,25,50,294,78,291,87,426,81,563,23,294,33,425,15,546,76,41,-1,-1,60,58,-1,-1,39,579,35,579,6,563,108,593,105,593,78,578
