photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,76,24,80,101,36,87,6,175,21,166,124,111,125,221,80,222,81,293,52,290,21,409,52,521,111,298,81,416,131,553,65,7,86,10,50,24,100,27,90,588,110,593,144,560,8,547,8,539,67,535
2,78,21,82,98,41,84,6,161,16,119,123,106,121,220,82,199,82,298,55,294,22,416,54,523,110,303,82,421,132,550,66,8,90,8,52,21,106,24,94,588,110,592,144,565,16,546,15,537,68,529
3,80,21,85,99,45,93,6,146,18,84,125,110,103,232,86,148,83,294,56,290,19,414,58,518,110,303,83,428,128,554,72,8,89,8,56,21,103,22,89,591,107,592,144,564,17,544,17,537,72,524
4,82,22,86,96,46,93,6,123,23,58,124,106,109,212,86,132,85,303,58,296,20,416,58,519,111,306,79,429,130,554,72,8,94,9,58,22,109,30,97,592,113,592,144,558,17,550,19,540,72,522
5,62,43,84,78,46,64,6,89,22,8,120,84,102,175,82,100,78,292,52,288,19,413,53,519,104,296,74,424,128,552,-1,-1,72,29,-1,-1,98,28,92,592,110,592,144,562,13,549,15,539,68,534
6,59,49,84,88,50,86,6,84,25,7,122,97,103,161,87,88,77,296,53,293,18,422,55,520,101,304,75,432,129,553,53,32,69,35,-1,-1,100,32,97,593,112,593,144,565,12,553,12,541,69,532
7,65,37,89,90,50,89,6,72,28,7,120,100,104,156,86,89,76,298,47,296,17,421,51,521,103,305,78,437,128,554,64,33,78,33,53,33,104,34,96,593,115,593,144,564,9,553,8,544,65,534
8,70,41,85,105,48,99,7,73,28,7,125,105,109,147,85,73,69,303,41,299,18,418,50,521,98,305,81,437,132,559,65,27,85,29,55,37,111,41,95,588,111,593,144,571,7,552,6,548,66,533
9,69,54,86,107,47,106,10,72,30,7,125,110,105,148,94,72,69,295,42,290,17,424,48,527,98,301,89,438,129,558,62,38,82,38,50,43,109,47,95,591,114,593,144,573,6,558,6,545,63,537
10,71,59,90,115,49,112,10,74,32,6,130,117,101,131,94,34,66,293,42,291,26,422,46,528,99,296,96,429,132,550,68,49,82,45,-1,-1,108,56,99,591,116,594,144,564,6,560,6,546,65,539
11,74,74,93,123,47,118,10,76,37,6,130,129,98,121,95,34,66,293,41,290,29,424,46,530,95,298,98,424,130,558,72,65,83,65,-1,-1,112,72,98,594,115,594,144,566,9,560,6,547,63,542
12,77,94,90,138,48,136,21,83,43,6,125,146,110,117,94,43,68,299,40,295,37,420,52,536,94,301,104,422,130,557,74,85,90,88,-1,-1,110,94,99,594,119,594,144,571,6,567,6,557,63,544
13,98,86,89,138,55,132,27,73,50,6,126,143,116,99,100,26,70,295,43,293,43,416,55,532,100,295,114,424,135,557,84,76,104,78,67,89,130,93,103,594,123,594,144,568,9,561,6,556,66,542
14,95,100,88,158,49,157,34,84,53,6,125,160,118,102,95,26,70,312,41,309,41,433,55,549,97,316,112,434,136,570,83,94,109,97,63,111,125,113,118,582,133,597,143,578,9,576,7,566,67,560
15,88,104,85,161,52,161,44,86,57,5,123,163,121,95,100,14,70,305,42,303,42,426,57,533,100,308,116,428,136,562,80,95,100,95,62,111,116,124,103,595,123,595,144,568,11,564,6,553,67,546
16,87,97,86,155,47,155,47,81,47,6,121,155,119,85,104,6,67,314,35,312,40,431,52,534,100,316,115,431,138,561,78,91,102,89,64,107,115,109,104,594,124,594,143,570,7,563,7,558,67,547
17,89,103,87,155,50,160,48,99,52,6,120,155,107,75,96,21,69,312,36,309,36,433,52,540,100,314,109,435,138,561,79,98,102,93,66,111,116,109,105,592,123,594,144,573,9,563,6,556,70,546
18,87,102,87,159,50,157,47,88,51,6,122,159,109,81,106,22,67,315,40,315,42,436,54,538,99,317,106,439,129,560,72,94,97,94,64,114,109,116,104,594,124,594,144,572,6,562,6,558,67,544
