photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,-1,-1,71,81,115,86,144,154,129,81,31,81,33,154,-1,-1,57,299,83,299,129,432,88,573,31,299,69,424,20,559,-1,-1,-1,-1,105,9,57,9,58,571,55,559,6,579,133,589,121,591,77,589
2,-1,-1,72,81,113,83,144,121,127,56,32,81,35,141,-1,-1,59,298,86,298,128,427,87,569,32,298,74,425,21,557,-1,-1,-1,-1,103,9,59,9,59,564,55,557,6,577,128,582,119,591,74,582
3,-1,-1,71,82,108,84,143,84,122,21,32,81,64,136,-1,-1,62,299,87,301,132,430,89,570,34,299,79,426,22,555,-1,-1,-1,-1,105,14,59,9,58,566,51,557,7,573,128,587,118,591,76,579
4,-1,-1,67,88,103,91,144,77,124,9,32,83,78,102,-1,-1,62,303,87,303,129,435,88,568,36,303,77,429,22,556,-1,-1,-1,-1,105,19,56,19,60,570,51,563,6,572,129,584,121,591,76,584
5,-1,-1,73,101,111,102,143,74,121,8,34,101,73,121,-1,-1,63,308,90,308,130,436,89,570,35,305,76,431,21,556,-1,-1,-1,-1,107,32,48,20,57,572,51,563,7,572,129,583,117,592,76,582
6,-1,-1,74,118,117,126,143,76,115,8,33,118,76,131,-1,-1,66,317,96,317,133,442,92,573,40,317,76,436,23,559,-1,-1,-1,-1,108,54,48,33,58,576,50,572,7,576,134,591,123,592,77,589
7,-1,-1,71,127,111,130,143,77,112,8,28,122,-1,-1,-1,-1,69,311,94,311,131,444,93,573,43,311,69,431,21,558,-1,-1,-1,-1,108,63,44,44,54,573,46,568,7,574,138,591,125,592,76,583
8,-1,-1,72,132,114,138,143,76,111,7,26,128,60,105,74,34,72,307,100,307,131,441,90,570,42,306,60,431,19,557,-1,-1,-1,-1,107,73,49,72,56,574,46,570,7,574,136,591,122,593,74,577
9,-1,-1,74,129,117,136,143,68,120,7,27,124,52,60,78,14,72,298,105,298,124,430,94,562,40,299,52,425,19,557,-1,-1,-1,-1,107,74,55,78,52,571,45,569,7,571,138,593,124,593,79,574
10,-1,-1,72,132,122,134,142,70,110,7,28,132,43,68,52,21,72,295,107,295,122,419,104,554,37,295,37,419,17,555,-1,-1,-1,-1,107,83,49,85,18,574,8,570,21,570,141,593,124,593,87,564
11,-1,-1,80,144,120,140,142,71,118,6,29,145,29,94,46,32,77,299,105,299,118,418,115,550,41,296,32,412,19,547,-1,-1,-1,-1,105,91,53,95,29,592,24,588,8,563,137,594,137,592,104,564
12,-1,-1,73,146,116,148,133,81,119,6,29,146,29,102,46,35,71,300,104,300,111,415,107,548,42,298,28,411,11,538,-1,-1,-1,-1,107,99,49,104,29,562,15,559,8,554,142,594,128,586,94,555
13,-1,-1,86,151,129,150,134,72,131,6,43,153,43,86,51,21,81,299,112,299,126,420,109,551,49,297,32,416,11,548,-1,-1,-1,-1,112,103,54,105,16,572,8,566,11,565,142,594,131,590,91,562
14,-1,-1,94,150,133,150,134,74,139,6,55,153,58,77,58,26,89,301,116,303,133,422,112,551,56,299,41,420,19,554,-1,-1,-1,-1,117,106,62,107,14,576,8,575,19,569,142,594,134,590,98,561
15,-1,-1,93,156,131,160,142,78,142,6,51,156,56,82,61,22,88,312,116,313,128,438,112,565,51,310,35,438,14,565,-1,-1,-1,-1,121,111,69,113,10,594,8,592,14,582,93,567,126,588,109,581
16,-1,-1,87,156,126,156,142,78,142,6,49,156,52,68,63,10,82,305,114,307,123,429,106,558,49,302,32,424,11,545,-1,-1,-1,-1,122,112,62,115,27,585,21,583,8,564,141,594,126,590,90,568
