photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,57,21,76,92,46,79,34,156,6,205,115,104,131,210,65,243,93,294,75,288,24,406,68,524,117,299,62,427,129,557,50,8,65,8,-1,-1,92,13,87,590,100,592,144,572,36,551,36,539,81,538
2,52,20,74,94,42,76,16,158,6,189,111,110,115,219,56,231,92,293,70,292,16,403,65,526,112,298,56,426,128,554,44,8,65,8,-1,-1,90,13,85,590,99,592,144,568,34,548,35,536,75,536
3,48,19,69,98,34,86,20,187,52,260,102,113,97,225,37,206,83,306,64,301,7,406,57,519,110,309,47,438,128,555,39,12,60,9,-1,-1,85,17,82,590,94,591,143,567,27,543,29,536,70,531
4,49,21,68,95,36,80,32,187,52,267,99,111,80,229,28,168,81,303,64,297,6,409,59,525,106,309,40,435,129,557,40,12,62,9,-1,-1,85,17,81,588,94,591,144,571,28,541,31,534,71,534
5,59,19,74,99,51,90,32,195,6,113,99,108,69,207,27,113,85,303,64,301,19,416,67,527,105,313,47,437,129,553,51,9,69,9,-1,-1,91,16,89,590,102,591,144,565,42,543,44,534,77,534
6,52,35,76,86,51,76,23,161,6,86,100,102,54,166,29,81,79,297,61,290,11,415,62,531,100,310,44,439,129,553,-1,-1,71,9,-1,-1,90,9,89,586,100,591,144,562,35,546,38,538,76,538
7,43,31,70,81,50,66,-1,-1,-1,-1,94,93,23,144,13,47,76,288,54,281,6,417,63,531,97,298,38,437,127,554,39,15,54,12,-1,-1,87,8,83,588,97,592,144,559,27,547,34,537,76,537
8,60,53,74,116,57,101,6,67,17,8,98,128,41,148,31,90,77,305,61,301,24,426,73,536,96,313,60,447,131,559,49,40,73,40,38,44,98,47,100,592,113,592,144,568,46,554,46,550,85,547
9,56,21,73,92,59,85,15,69,6,8,87,95,43,85,33,43,72,279,56,275,22,411,72,528,87,282,59,432,130,550,48,8,66,9,-1,-1,91,20,87,589,103,592,144,562,39,550,40,545,84,542
10,67,29,80,94,59,83,6,44,15,7,97,100,40,97,28,24,69,270,52,266,29,407,65,523,86,277,67,423,127,550,62,21,78,21,52,24,99,29,87,591,102,593,144,557,41,554,38,543,74,534
11,73,41,81,91,57,86,6,41,16,7,109,93,71,104,38,59,73,268,50,268,43,403,65,527,95,270,81,409,127,538,66,27,82,34,-1,-1,111,41,97,593,113,591,144,545,49,559,38,553,79,535
12,90,46,97,94,68,92,8,60,8,36,124,96,56,82,21,7,79,260,50,260,47,390,47,519,108,260,110,394,124,540,82,39,102,39,68,40,135,52,90,593,110,593,142,548,21,561,16,557,68,527
13,82,95,102,133,73,133,13,99,8,6,132,135,52,105,12,20,80,286,53,284,52,405,53,520,105,288,102,407,122,538,80,85,102,85,-1,-1,142,99,85,594,112,591,142,548,25,564,13,554,65,534
14,86,90,101,139,72,135,30,92,8,6,126,139,65,92,16,10,78,290,54,290,51,409,54,527,101,292,101,413,121,543,83,88,101,88,-1,-1,136,103,80,594,104,592,142,548,29,563,19,558,72,533
15,91,90,100,138,62,130,36,90,9,6,133,143,83,91,24,17,83,287,59,287,41,407,59,527,107,287,107,413,124,549,91,82,109,84,-1,-1,141,105,83,594,103,592,138,553,28,567,16,561,71,535
16,94,87,94,136,62,134,37,90,9,6,138,143,65,85,16,6,65,289,41,286,41,413,48,531,94,293,94,425,116,547,94,83,113,85,-1,-1,141,103,72,594,94,594,138,555,16,571,12,561,62,541
