photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,86,24,49,102,35,102,82,187,144,181,66,102,81,210,143,194,34,301,14,303,71,433,19,555,49,294,96,424,47,542,81,9,-1,-1,56,27,-1,-1,79,564,75,555,45,549,52,587,38,591,6,564
2,81,20,46,97,33,99,92,160,144,125,60,91,99,194,143,160,33,300,12,307,80,436,19,550,50,294,103,429,47,539,74,9,-1,-1,50,28,-1,-1,80,568,77,557,45,553,48,591,34,591,6,555
3,78,22,47,95,30,93,97,128,134,67,63,95,110,176,144,100,39,305,18,308,84,435,18,548,57,299,104,435,51,546,74,9,-1,-1,51,26,-1,-1,81,567,75,557,46,550,52,587,40,591,6,554
4,74,27,46,99,27,99,110,86,131,9,61,97,122,157,144,51,41,311,24,315,84,439,20,545,59,307,106,439,48,540,71,20,-1,-1,46,27,-1,-1,81,569,79,560,46,552,50,591,37,591,6,554
5,82,48,52,115,40,115,109,82,125,9,66,115,143,142,144,34,45,321,29,322,87,441,22,545,63,319,109,441,53,545,72,41,-1,-1,53,53,-1,-1,87,564,82,559,52,557,57,591,42,588,6,557
6,98,59,58,110,47,108,132,84,142,8,68,113,88,215,106,296,56,321,36,322,105,449,24,554,77,316,129,449,68,546,89,51,-1,-1,58,61,-1,-1,106,569,105,562,58,557,67,592,47,590,8,561
7,87,57,50,114,41,112,121,81,125,8,66,112,134,88,143,27,62,311,41,314,88,448,24,556,82,309,118,450,62,551,75,52,-1,-1,50,62,-1,-1,97,570,93,565,54,564,62,592,44,592,7,565
8,97,54,55,106,46,107,131,70,135,8,66,103,128,73,141,14,73,298,53,301,94,437,26,552,94,298,124,435,66,550,87,50,-1,-1,58,60,-1,-1,112,571,109,567,58,555,68,592,44,592,9,555
9,77,57,54,111,39,111,107,73,107,7,65,110,125,93,143,54,58,281,40,284,66,423,22,547,76,281,92,420,66,543,70,54,-1,-1,48,60,-1,-1,91,571,92,567,55,550,54,593,37,590,7,550
10,72,67,33,110,14,110,98,75,117,7,52,109,112,88,141,58,52,280,29,280,36,410,19,554,72,277,86,410,76,538,62,61,-1,-1,33,73,-1,-1,81,576,97,566,67,543,48,593,28,593,9,561
11,53,80,33,127,11,127,78,80,105,7,65,129,115,123,143,77,36,288,17,289,27,417,15,550,57,285,64,417,62,541,46,77,-1,-1,21,89,-1,-1,78,579,84,571,48,546,48,593,29,593,7,558
12,49,82,34,131,9,134,64,69,99,6,65,131,116,103,144,60,36,285,18,287,25,412,15,539,58,282,64,410,64,529,44,78,-1,-1,21,91,-1,-1,79,567,82,563,51,532,46,594,30,587,6,548
13,47,93,31,141,7,141,60,82,94,6,57,138,100,101,144,44,35,297,19,298,30,425,15,542,53,294,60,423,57,530,41,91,-1,-1,19,106,-1,-1,74,576,78,564,45,541,41,594,27,594,6,548
14,53,91,31,137,6,140,63,77,95,6,61,136,98,87,144,26,43,297,22,300,31,420,15,538,61,297,64,420,61,532,45,88,-1,-1,25,103,-1,-1,77,575,86,567,47,538,43,594,26,586,9,548
15,42,94,34,146,7,147,62,80,93,6,59,137,103,84,143,31,42,296,25,297,37,422,17,542,62,296,70,423,59,538,38,90,-1,-1,14,107,-1,-1,76,580,87,571,51,547,41,594,24,587,7,552
16,54,102,40,149,7,151,70,80,100,6,64,146,96,94,143,25,48,300,27,303,41,424,20,545,72,297,74,427,61,542,41,97,-1,-1,20,108,-1,-1,76,584,89,574,57,551,41,594,24,591,7,552
