photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,68,21,72,103,32,94,9,160,5,185,112,110,122,219,72,238,75,300,50,296,20,418,65,525,100,306,72,438,130,551,59,7,78,9,45,24,90,25,100,590,115,593,145,560,26,549,26,541,80,535
2,71,22,73,98,35,93,5,184,23,144,113,111,113,221,65,209,74,299,51,296,20,413,68,523,100,307,73,443,131,547,60,7,80,10,47,22,89,27,101,593,115,593,145,556,28,551,28,539,88,539
3,71,22,74,104,43,100,5,158,7,117,109,104,101,218,60,172,76,306,54,297,18,418,68,519,99,310,71,444,132,544,60,8,82,8,46,22,93,24,101,592,117,592,145,556,30,543,32,537,82,524
4,73,15,81,93,49,90,5,129,22,53,110,97,99,205,60,149,76,302,57,299,19,419,68,516,100,307,68,444,133,541,63,8,84,8,49,15,97,20,104,592,119,592,145,550,34,544,34,536,84,521
5,57,52,79,62,44,57,5,81,19,8,112,73,91,174,78,83,79,290,56,281,17,412,66,514,102,295,66,438,133,548,-1,-1,-1,-1,-1,-1,93,13,106,592,120,592,145,550,32,545,33,535,79,525
6,63,67,77,94,47,91,5,91,27,7,107,103,90,183,77,102,76,307,51,304,11,423,64,518,98,313,63,449,131,549,54,51,72,52,-1,-1,94,51,104,593,118,593,145,554,30,549,32,537,77,525
7,-1,-1,77,91,49,86,5,70,24,7,107,101,90,157,76,86,72,299,49,297,10,425,63,518,93,310,63,450,131,545,-1,-1,-1,-1,-1,-1,52,27,104,593,118,591,145,545,27,548,27,542,76,526
8,64,55,76,110,42,108,5,78,31,7,107,112,90,159,76,90,68,309,46,305,9,431,60,520,91,316,60,453,132,548,57,41,77,45,48,48,104,45,102,593,116,593,145,555,26,552,26,541,74,526
9,94,62,74,121,44,116,5,74,31,7,110,121,87,153,81,91,69,313,44,309,9,431,59,524,94,317,60,462,132,549,81,47,97,54,53,56,-1,-1,103,593,117,593,145,555,27,557,27,544,72,528
10,57,62,79,119,41,112,6,74,26,7,113,119,91,142,82,82,67,310,41,303,10,435,57,526,88,314,63,455,130,553,56,51,71,51,-1,-1,99,62,103,593,122,591,144,555,22,556,22,550,74,537
11,62,68,78,119,41,113,6,68,25,6,117,122,87,122,78,15,68,301,41,294,15,430,58,524,90,308,68,444,130,549,60,63,72,59,-1,-1,95,66,103,594,120,591,144,549,23,554,23,549,74,530
12,59,93,76,142,38,140,6,92,41,6,113,146,88,123,76,29,62,311,38,311,20,432,59,528,88,315,74,442,130,546,57,90,72,83,-1,-1,99,92,105,594,123,593,144,553,22,559,20,546,74,535
13,69,90,76,138,40,136,6,77,30,14,108,146,90,73,74,6,60,302,36,299,23,427,57,525,88,304,76,433,129,547,60,83,76,85,50,91,99,98,104,594,120,594,144,549,23,560,19,547,74,531
14,76,90,74,149,38,145,6,86,28,15,110,151,103,90,74,6,57,304,29,302,23,424,54,531,88,305,88,426,129,550,63,82,88,82,48,93,106,99,103,594,122,594,144,560,19,567,10,561,72,536
15,81,94,72,144,34,140,7,82,28,11,108,148,103,85,81,5,57,294,26,292,26,413,47,521,86,298,91,413,131,545,65,88,88,88,45,100,105,103,108,595,127,588,143,548,14,563,7,552,68,528
16,78,99,77,149,37,149,15,87,36,10,113,153,100,82,92,5,58,301,33,296,30,417,54,527,92,303,99,419,136,547,66,96,92,89,48,112,102,112,116,595,136,593,143,553,17,565,7,561,72,531
17,82,97,75,150,34,150,23,82,30,7,112,153,102,72,102,5,64,302,27,299,27,416,48,525,89,302,105,420,136,553,68,93,95,91,48,109,105,111,116,595,139,594,143,564,17,566,7,563,68,535
18,79,102,69,155,35,155,17,86,25,5,104,157,101,84,87,13,59,300,26,300,27,421,49,530,88,302,104,422,136,553,63,99,88,99,46,112,104,114,115,595,136,594,143,561,12,568,7,561,69,536
