photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,-1,-1,74,80,116,84,144,173,118,146,35,80,25,166,-1,-1,59,297,85,297,131,421,88,571,32,297,74,421,22,554,-1,-1,-1,-1,106,9,59,16,61,562,56,554,6,573,131,585,123,591,78,585
2,-1,-1,74,75,112,84,144,150,130,86,32,75,28,146,-1,-1,56,297,80,297,130,419,86,566,31,297,80,421,20,555,-1,-1,-1,-1,105,9,56,9,58,561,55,557,6,572,125,583,116,591,75,579
3,-1,-1,74,79,108,85,144,122,116,30,39,73,24,130,-1,-1,56,295,79,299,127,421,86,564,31,295,80,423,21,553,-1,-1,-1,-1,103,9,56,9,54,562,51,555,6,566,123,581,115,591,74,577
4,-1,-1,72,78,104,84,144,85,120,9,40,74,24,133,-1,-1,55,300,79,300,129,423,88,568,30,300,80,423,22,553,-1,-1,-1,-1,105,9,58,9,56,566,54,558,6,568,124,585,116,591,75,579
5,-1,-1,78,88,112,88,144,70,121,9,42,88,21,145,-1,-1,60,307,82,307,130,425,88,569,36,307,83,425,25,548,-1,-1,-1,-1,107,18,57,18,57,565,55,556,6,565,124,585,118,591,73,583
6,-1,-1,76,104,115,104,144,68,120,9,39,104,-1,-1,-1,-1,63,312,86,312,130,435,86,568,38,312,84,435,23,551,-1,-1,-1,-1,106,32,54,32,55,561,50,554,6,567,125,586,116,591,74,579
7,-1,-1,77,121,115,121,144,77,110,8,43,124,-1,-1,-1,-1,64,320,89,320,130,440,88,567,45,320,81,440,22,556,-1,-1,-1,-1,105,60,57,60,60,572,50,564,6,569,123,585,117,592,74,584
8,-1,-1,79,120,119,124,144,66,115,8,42,118,-1,-1,-1,-1,75,312,94,312,131,441,89,565,48,309,78,435,25,546,-1,-1,-1,-1,106,65,62,63,59,570,50,565,6,565,125,587,118,592,75,578
9,-1,-1,79,133,116,135,143,72,111,7,39,130,42,175,-1,-1,75,313,99,310,126,446,84,564,50,313,70,431,22,545,-1,-1,-1,-1,107,73,57,78,50,575,41,564,7,561,125,591,113,593,70,576
10,-1,-1,74,129,116,134,143,68,115,7,37,125,-1,-1,-1,-1,77,298,103,298,120,440,87,559,51,299,61,427,23,543,-1,-1,-1,-1,104,73,59,74,47,572,43,568,7,558,124,593,111,593,73,572
11,-1,-1,72,129,113,130,143,67,110,7,29,126,-1,-1,-1,-1,73,297,100,297,114,428,89,555,44,299,48,421,12,544,-1,-1,-1,-1,99,78,52,80,36,573,26,571,7,558,122,593,109,590,80,562
12,-1,-1,81,139,124,138,143,70,114,7,42,142,61,104,-1,-1,83,306,112,303,121,434,112,569,54,307,47,432,28,552,-1,-1,-1,-1,110,89,61,93,28,593,7,576,26,568,89,569,-1,-1,117,589
13,-1,-1,71,153,114,152,142,78,111,7,28,156,41,89,49,29,71,311,104,311,117,441,111,573,44,308,28,434,9,558,-1,-1,-1,-1,104,100,46,105,22,593,8,589,8,577,90,575,96,575,111,589
14,-1,-1,78,154,126,153,141,87,128,7,32,157,48,93,53,27,77,309,111,309,128,439,126,572,44,307,29,432,10,562,-1,-1,-1,-1,111,106,48,110,27,593,10,584,9,579,101,576,111,576,128,589
15,-1,-1,80,155,123,159,141,85,141,7,33,155,49,85,53,34,75,311,117,313,135,439,130,566,42,309,31,433,9,552,-1,-1,-1,-1,117,111,49,116,26,593,9,587,9,570,101,574,106,570,134,583
16,-1,-1,75,158,114,159,130,82,130,6,34,159,44,85,44,32,70,308,106,310,126,429,116,555,39,303,26,424,10,546,-1,-1,-1,-1,106,113,44,115,20,578,9,577,9,562,131,594,141,588,111,569
17,-1,-1,84,157,123,158,135,78,135,7,35,161,46,74,48,24,73,313,112,314,134,439,128,572,37,309,26,436,13,561,-1,-1,-1,-1,112,113,46,117,26,593,18,593,9,576,130,592,141,592,124,586
18,-1,-1,86,158,130,158,141,82,139,6,37,159,42,93,48,21,75,310,113,312,135,435,135,566,42,308,31,434,22,551,-1,-1,-1,-1,113,110,48,117,46,594,35,592,9,566,117,566,124,566,139,582
