photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,85,64,59,113,45,112,105,82,119,8,73,115,144,140,142,44,64,307,45,307,69,452,19,556,81,307,106,439,69,541,80,59,85,59,56,61,-1,-1,94,569,94,557,58,549,41,592,23,592,6,557
2,88,66,62,117,46,116,105,81,116,8,81,117,139,125,144,36,69,305,53,310,66,450,18,555,84,304,109,431,73,540,83,61,-1,-1,59,66,-1,-1,95,569,97,559,62,555,40,592,27,589,6,558
3,86,69,58,112,46,115,101,78,116,7,70,107,120,90,144,54,71,291,52,293,52,428,20,548,86,291,104,425,68,534,80,63,-1,-1,60,69,-1,-1,90,567,95,563,55,543,41,593,22,585,6,549
4,80,71,55,117,36,115,92,78,111,7,80,119,139,117,144,61,66,287,51,287,41,421,19,555,81,284,95,418,70,542,70,65,-1,-1,51,75,-1,-1,85,573,95,569,59,552,34,593,19,593,6,559
5,59,79,44,120,22,120,80,78,104,7,72,124,129,115,144,63,55,282,38,284,26,406,9,544,72,282,72,405,70,521,55,75,-1,-1,31,82,-1,-1,70,559,86,555,56,529,24,593,9,589,6,552
6,55,89,49,133,20,133,76,76,103,7,76,133,115,100,144,57,53,286,38,289,35,410,11,536,70,286,70,411,67,519,50,82,-1,-1,34,96,-1,-1,73,569,82,559,53,528,23,593,11,589,6,545
7,58,91,46,136,20,143,67,77,97,7,72,129,104,91,145,39,55,293,37,296,35,419,15,541,71,293,72,419,60,524,49,88,58,88,32,100,-1,-1,69,576,74,567,48,528,30,593,15,591,5,548
8,61,98,47,139,20,147,74,75,100,7,77,134,110,86,144,40,60,302,40,305,43,421,14,542,78,302,77,421,61,528,53,90,-1,-1,33,103,-1,-1,71,576,78,571,47,535,30,593,16,589,6,547
9,52,90,49,144,20,147,69,78,98,7,76,135,114,86,144,33,60,306,39,307,46,424,16,542,81,306,79,425,62,531,49,86,-1,-1,32,103,-1,-1,65,580,75,576,49,539,30,593,16,591,6,546
10,56,96,49,147,21,151,74,79,101,7,79,139,115,91,143,36,64,301,44,301,47,420,14,538,85,298,82,424,64,532,49,91,-1,-1,29,111,-1,-1,67,579,78,571,49,540,32,593,14,586,7,547
