photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,57,20,74,92,33,80,20,169,16,199,114,105,117,210,56,210,73,298,47,296,6,403,47,525,99,301,60,437,128,562,48,8,69,9,-1,-1,97,19,79,589,94,592,144,575,21,556,20,545,61,536
2,56,24,76,100,38,84,12,178,6,170,112,112,109,225,52,194,78,299,52,291,6,408,54,527,100,307,54,442,126,561,52,8,70,8,-1,-1,98,24,84,589,100,592,144,573,24,553,22,545,69,532
3,69,23,83,100,53,90,6,150,30,111,112,111,98,221,57,168,83,301,60,294,18,412,59,527,101,311,57,444,130,557,60,8,80,8,-1,-1,101,22,92,587,102,592,144,567,33,555,31,542,70,534
4,68,25,85,104,59,96,5,133,9,106,110,109,83,207,48,134,77,311,59,297,16,413,59,526,97,318,49,447,132,555,60,8,79,10,-1,-1,99,22,93,587,107,592,145,565,34,548,34,543,71,529
5,68,25,80,99,52,84,6,101,14,20,114,106,76,175,53,101,79,308,56,297,15,412,59,526,102,313,52,445,131,555,64,8,79,8,-1,-1,103,22,91,585,104,592,144,558,34,551,34,539,71,534
6,64,35,82,97,50,80,6,82,12,8,111,107,74,158,47,122,76,302,60,297,15,415,61,530,98,308,49,448,128,553,60,18,76,18,-1,-1,101,20,90,590,101,592,144,565,35,550,35,540,73,535
7,61,54,77,110,48,93,5,88,23,8,108,124,67,149,55,81,74,313,56,305,18,428,60,533,96,318,58,456,129,557,56,39,74,39,-1,-1,102,48,90,591,104,592,145,566,33,552,33,547,70,544
8,69,49,84,107,51,101,5,79,25,7,109,119,69,138,71,67,74,301,53,296,22,421,62,526,92,308,61,452,129,557,62,39,79,39,-1,-1,105,49,92,587,107,593,145,561,35,551,35,544,76,538
9,81,57,78,113,47,110,5,77,31,7,111,114,80,130,-1,-1,73,302,51,299,24,420,64,533,91,308,65,449,129,563,73,43,97,43,58,48,111,57,94,589,107,593,145,567,36,559,36,550,78,549
10,76,56,83,115,52,103,5,72,29,7,110,119,83,133,71,71,71,295,54,290,33,419,67,536,93,297,80,432,129,559,67,43,89,49,-1,-1,113,64,96,593,109,593,145,561,41,565,38,559,80,544
11,90,60,86,110,53,106,6,80,25,6,120,117,83,124,71,74,78,287,53,286,40,410,63,529,99,287,98,420,129,546,86,51,104,56,77,57,126,73,99,594,117,592,144,553,40,566,37,555,74,536
12,98,72,93,120,55,120,7,86,13,7,129,122,74,124,64,67,77,289,47,289,44,412,44,529,98,292,99,422,115,545,91,61,112,65,81,72,132,78,125,593,143,573,115,557,51,546,38,549,55,545
13,103,76,100,127,62,119,14,76,7,6,128,129,82,94,57,23,78,288,50,287,44,412,44,520,103,288,106,419,125,538,96,71,121,74,82,74,143,90,103,594,121,592,143,547,32,569,21,558,62,531
14,103,83,103,130,66,128,41,79,7,6,138,133,81,90,51,30,81,288,54,286,44,414,56,523,103,291,109,421,127,551,102,77,121,79,-1,-1,143,96,103,594,124,592,140,555,37,570,25,557,74,528
15,104,84,101,136,67,132,40,81,7,11,131,138,85,73,62,6,79,295,53,295,46,417,50,520,101,295,108,427,126,546,104,76,121,82,-1,-1,143,101,104,594,124,589,140,548,31,565,24,561,72,529
16,113,79,103,128,67,126,43,85,7,8,137,136,87,66,63,6,80,287,53,286,43,409,57,526,103,287,106,418,126,551,116,74,123,76,-1,-1,143,101,103,594,120,592,143,554,27,572,21,561,77,532
17,106,85,103,136,67,135,43,87,7,14,133,138,86,73,60,6,77,298,50,298,40,417,56,529,100,298,103,427,126,548,110,79,120,84,-1,-1,141,103,99,594,119,593,143,554,23,570,17,562,76,537
18,109,80,103,140,67,133,41,86,7,13,130,140,87,75,48,6,70,294,47,294,28,422,47,531,93,297,100,425,125,549,109,75,125,80,-1,-1,143,104,89,594,109,593,138,557,22,572,12,562,64,539
