023,shooting,1,96,102,73,107,82,217,145,252,121,98,115,188,141,221,84,302,80,441,17,553,139,426,102,518;
023,shooting,2,94,98,73,105,90,208,145,220,117,96,113,188,145,205,80,296,86,437,18,541,141,419,101,510;
023,shooting,3,80,98,63,100,95,192,146,190,99,89,107,174,140,173,70,298,76,452,16,548,123,429,87,519;
023,shooting,4,79,95,60,95,107,165,146,115,97,92,119,184,144,147,69,301,75,456,13,548,120,430,85,513;
023,shooting,5,72,93,59,98,115,143,138,61,87,82,128,158,146,87,68,312,75,457,13,544,114,434,82,520;
023,shooting,6,75,93,63,99,124,83,141,8,88,88,140,124,146,30,69,305,77,454,14,540,116,430,88,512;
023,shooting,7,75,103,74,108,130,79,144,7,85,100,135,100,146,27,73,316,80,464,14,552,121,443,90,525;
023,shooting,8,76,112,75,119,134,82,140,7,81,108,136,92,146,26,76,314,78,462,16,548,123,442,91,523;
023,shooting,9,84,108,92,105,138,79,145,6,67,114,135,87,145,48,85,312,75,452,17,547,125,432,99,522;
023,shooting,10,80,104,80,104,133,66,141,6,72,104,136,72,145,44,82,292,68,441,18,552,122,415,100,520;
023,shooting,11,80,106,71,106,129,69,133,6,88,106,140,96,145,28,80,284,56,416,17,547,112,407,99,514;
023,shooting,12,72,115,61,113,110,70,122,6,89,117,146,120,138,19,71,279,42,407,15,543,95,405,95,509;
023,shooting,13,70,117,55,115,107,64,117,6,90,117,135,115,146,69,70,278,42,404,11,537,94,407,94,496;
023,shooting,14,70,120,52,120,105,67,122,5,91,120,130,101,146,38,71,284,41,408,11,538,96,408,99,503;
023,shooting,15,69,133,50,135,97,78,120,5,89,129,122,94,146,47,73,294,42,414,10,545,94,412,102,502;
023,shooting,16,67,132,47,134,90,78,112,5,87,130,111,88,146,38,73,291,42,419,11,545,96,408,100,501;
023,shooting,17,66,133,46,137,90,73,111,5,86,125,112,76,146,30,73,290,42,416,9,547,100,408,100,502;
