photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,54,22,78,103,40,87,27,166,6,219,117,112,131,224,78,266,91,295,65,291,31,407,71,533,117,300,77,434,131,555,51,9,67,9,-1,-1,92,14,92,589,106,591,144,569,28,555,28,551,83,544
2,65,27,82,102,51,86,28,163,6,201,117,113,122,236,66,256,101,298,77,295,38,406,76,529,122,304,78,435,133,552,56,9,76,9,-1,-1,101,15,101,587,116,591,144,563,39,556,39,547,90,545
3,65,26,84,105,52,87,23,171,6,188,115,120,104,237,61,228,96,307,76,294,35,409,74,528,118,313,76,436,132,554,60,9,76,9,-1,-1,102,17,101,591,115,591,144,556,38,554,40,541,89,536
4,46,22,71,103,29,82,26,180,-1,-1,104,118,76,236,30,197,81,306,58,296,7,418,59,531,105,317,55,446,130,549,42,9,59,9,-1,-1,88,19,91,591,105,591,143,561,16,555,16,546,75,542
5,53,26,80,107,53,101,-1,-1,-1,-1,104,118,53,217,25,140,81,314,55,307,7,417,60,525,104,323,50,450,129,550,42,9,66,9,-1,-1,93,22,98,591,112,591,143,551,24,550,24,544,77,529
6,54,21,74,105,46,97,-1,-1,-1,-1,105,116,49,196,22,97,78,316,53,312,7,426,61,533,99,327,50,456,130,551,51,9,66,15,-1,-1,93,21,95,591,109,591,143,553,23,551,24,544,77,536
7,60,34,85,90,63,75,6,49,8,11,103,107,48,144,42,69,81,306,63,296,22,426,71,523,103,311,60,454,131,544,48,15,69,11,-1,-1,102,9,102,591,116,589,144,549,38,553,39,540,88,534
8,56,41,79,111,57,95,6,56,16,9,105,125,43,148,40,74,80,314,60,305,21,434,70,536,100,319,56,461,132,549,45,23,70,26,-1,-1,100,35,102,591,117,589,144,552,38,559,40,549,84,545
9,60,44,79,104,63,92,6,46,13,9,98,120,47,123,30,56,75,306,58,299,21,431,69,537,93,313,60,460,129,549,51,27,75,26,42,32,102,27,100,591,114,590,144,561,35,561,38,549,85,547
10,56,81,80,139,-1,-1,-1,-1,-1,-1,82,151,6,81,23,8,71,324,50,321,20,441,67,544,88,328,60,466,129,554,51,69,71,67,-1,-1,101,78,95,592,110,592,144,565,30,566,35,554,78,550
11,71,81,76,133,56,121,6,81,25,7,102,137,69,147,-1,-1,63,307,42,302,25,431,65,538,86,314,71,451,132,557,62,65,82,65,52,74,103,78,98,593,112,593,144,561,35,562,33,557,76,542
12,72,65,78,119,57,116,7,72,15,7,101,123,69,121,-1,-1,60,289,40,284,25,428,58,534,84,293,74,439,126,550,65,50,84,55,57,62,109,66,105,593,122,593,143,554,32,573,25,558,76,538
13,74,42,89,93,61,89,18,60,7,7,110,95,70,86,60,54,64,269,42,269,29,408,57,518,89,271,91,412,127,540,72,32,89,36,-1,-1,115,42,108,593,127,589,143,540,41,571,29,566,74,523
14,89,85,99,128,74,124,12,89,8,48,122,131,38,89,13,7,74,292,49,291,33,418,46,531,96,295,99,421,137,541,79,75,99,75,74,79,137,86,120,593,142,590,142,550,25,576,12,570,59,537
15,80,91,97,134,67,131,30,93,19,57,119,140,59,88,19,6,62,289,42,286,33,417,42,523,85,292,97,417,122,538,79,81,95,81,-1,-1,122,96,92,594,111,589,143,547,19,572,7,566,59,529
16,92,100,97,153,63,146,50,107,13,6,132,155,76,103,19,17,71,298,40,296,32,419,48,527,94,301,110,425,132,548,92,94,110,96,-1,-1,135,112,102,594,124,590,142,554,15,577,8,571,68,531
