photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,65,17,68,106,29,104,5,188,21,207,106,109,115,227,67,238,79,302,56,298,18,426,67,531,103,303,71,450,132,551,54,8,73,8,42,27,86,17,102,592,116,592,145,559,27,553,27,545,80,535
2,64,16,70,100,31,99,8,186,5,153,107,105,107,224,63,207,76,309,53,304,16,425,64,520,98,312,71,449,132,552,53,8,74,8,42,25,87,19,98,590,116,592,145,557,26,549,28,541,80,532
3,71,16,75,102,40,102,5,157,9,141,108,102,99,221,60,167,78,308,56,305,18,429,63,516,102,313,74,454,134,548,62,10,77,8,49,25,90,16,103,590,118,592,145,551,28,548,28,541,76,527
4,71,22,81,103,48,100,5,132,24,60,106,105,95,202,64,113,79,313,58,307,19,428,65,517,101,316,71,451,133,544,61,11,81,8,49,22,94,22,105,592,118,592,145,551,34,544,34,539,78,522
5,51,44,73,78,40,68,5,91,16,8,107,83,94,161,72,83,75,303,52,295,16,426,61,515,97,310,64,447,131,548,49,33,58,29,-1,-1,78,23,104,592,118,592,145,554,29,545,29,540,73,523
6,57,53,78,91,46,85,5,91,23,8,107,96,93,174,75,99,72,307,51,304,16,429,62,519,93,315,68,457,132,550,-1,-1,62,36,-1,-1,82,36,106,589,120,592,145,555,32,550,32,540,75,532
7,51,55,74,114,45,102,5,95,32,7,106,118,93,176,74,111,72,316,48,309,12,438,59,524,93,320,69,465,133,553,48,47,61,47,-1,-1,92,51,103,591,117,593,145,561,29,553,31,545,72,533
8,54,34,76,94,41,91,5,71,20,7,104,94,89,147,78,79,67,303,47,300,12,432,62,516,91,307,65,456,132,551,51,19,64,19,-1,-1,91,29,102,593,115,593,145,556,25,551,26,540,76,529
9,61,38,74,105,39,98,5,70,23,7,104,108,89,143,74,73,64,302,44,298,8,429,60,519,87,309,72,457,131,555,57,27,74,31,49,34,92,35,100,593,115,593,145,559,23,552,23,545,74,530
10,62,51,74,112,38,108,5,75,31,7,106,112,90,138,76,56,66,305,43,298,14,432,61,525,90,306,74,452,131,556,59,36,74,36,48,53,93,51,104,593,117,593,145,560,22,556,22,551,74,536
11,63,51,76,111,43,108,5,69,22,7,109,108,89,117,76,25,63,300,40,293,18,430,60,522,89,305,76,449,131,554,58,44,74,22,-1,-1,101,27,103,593,117,593,145,561,22,558,22,552,76,528
12,61,72,72,116,39,107,5,70,26,6,105,123,86,107,82,9,61,294,37,291,17,422,56,521,88,299,80,437,131,550,56,67,72,67,54,66,91,64,103,591,119,594,145,559,26,561,23,548,72,526
13,63,81,76,130,35,119,6,76,26,6,108,135,91,100,78,11,61,293,33,292,20,424,58,527,89,296,88,429,129,551,59,73,76,72,53,81,96,81,108,594,124,592,144,553,26,566,20,553,71,534
14,64,99,70,146,30,139,6,90,27,18,105,154,92,96,69,6,57,302,25,299,20,421,48,523,79,303,90,426,129,550,57,90,74,90,46,102,92,104,103,594,120,594,144,553,22,563,14,552,64,530
15,73,92,67,149,30,142,6,87,30,6,102,152,96,90,76,11,57,301,25,296,21,415,45,523,82,303,91,421,129,548,58,87,81,90,43,102,105,105,108,594,126,588,144,551,19,565,8,554,64,527
16,79,97,67,152,31,150,10,84,31,5,102,154,102,81,83,5,60,301,26,298,23,417,45,523,86,304,100,418,138,553,61,94,86,93,45,110,102,110,112,595,134,591,143,561,16,566,7,557,67,531
17,72,96,65,153,27,155,17,87,27,5,98,153,94,81,85,5,53,302,20,300,20,419,46,532,82,303,92,419,127,550,56,94,81,94,40,110,92,110,108,595,126,592,143,553,17,566,7,563,65,535
18,67,106,63,162,25,162,19,90,29,5,96,158,90,77,90,8,52,307,20,307,19,424,52,533,86,307,92,424,129,553,54,99,76,99,46,120,90,119,108,595,129,595,143,557,16,568,7,564,70,539
19,68,102,61,155,23,155,16,82,19,5,93,155,88,67,86,13,50,303,16,302,18,426,53,533,84,305,89,426,131,554,53,95,74,94,36,111,88,111,107,595,130,589,143,559,14,570,7,559,70,543
