photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,-1,-1,75,125,114,132,141,65,108,8,34,120,76,123,-1,-1,71,317,99,319,142,439,100,570,47,319,80,431,26,551,-1,-1,-1,-1,104,62,51,61,64,571,55,562,7,562,143,585,132,592,87,579
2,-1,-1,74,133,115,137,141,68,103,7,32,128,80,131,-1,-1,74,316,99,316,137,443,100,568,48,316,70,430,25,550,-1,-1,-1,-1,100,71,54,68,62,571,52,567,7,567,143,587,131,593,88,583
3,-1,-1,67,129,116,131,143,67,106,7,27,126,70,121,-1,-1,71,305,103,305,134,438,103,565,44,305,63,424,20,545,-1,-1,-1,-1,103,72,50,72,50,569,47,565,7,558,143,589,134,593,84,578
4,-1,-1,66,126,109,130,136,68,107,7,26,126,-1,-1,-1,-1,70,296,96,296,120,424,107,557,41,296,47,417,22,542,-1,-1,-1,-1,96,72,51,68,47,571,43,571,7,557,143,593,128,593,92,570
5,-1,-1,64,134,112,137,142,63,109,7,16,132,56,70,56,27,69,299,97,299,117,433,119,570,33,297,33,432,16,563,-1,-1,-1,-1,97,78,48,81,28,593,8,582,16,581,106,574,130,581,119,592
6,-1,-1,63,138,112,141,141,75,112,7,9,137,44,80,53,25,63,297,95,297,118,427,133,563,27,294,22,417,9,553,-1,-1,-1,-1,95,88,39,92,27,593,17,587,9,567,112,563,133,566,135,580
7,-1,-1,57,141,97,144,118,75,100,6,15,141,31,86,41,28,56,294,84,294,101,421,106,546,24,290,19,411,9,542,-1,-1,-1,-1,85,95,32,96,32,564,24,562,7,559,143,594,132,588,97,555
8,-1,-1,65,148,102,148,116,74,107,6,28,150,31,99,46,30,62,302,91,302,105,425,110,548,30,301,24,421,12,538,-1,-1,-1,-1,91,102,40,105,30,575,28,569,7,554,143,594,131,586,100,558
9,-1,-1,70,153,109,153,116,77,123,6,31,157,31,99,48,40,67,308,100,308,114,428,111,550,31,308,27,428,12,548,-1,-1,-1,-1,92,108,44,112,31,584,27,580,8,563,142,594,133,587,105,563
10,-1,-1,72,150,114,150,129,73,133,6,29,150,33,91,45,35,67,303,103,303,119,427,114,552,29,301,26,427,9,544,-1,-1,-1,-1,102,104,45,108,29,589,19,588,9,559,138,594,141,588,107,564
11,-1,-1,77,150,120,154,131,73,127,6,31,150,42,87,49,31,66,304,101,304,122,425,120,559,33,301,30,423,12,544,-1,-1,-1,-1,103,109,42,114,37,593,30,593,9,559,133,594,141,593,117,575
12,-1,-1,83,155,128,155,141,77,134,6,34,157,43,92,58,33,80,306,112,306,132,430,128,564,36,304,34,425,14,548,-1,-1,-1,-1,114,107,54,109,52,594,40,594,9,562,110,564,137,588,125,581
13,-1,-1,81,157,127,159,141,87,132,6,34,157,46,90,56,36,78,310,115,310,127,427,127,567,39,307,34,424,18,546,-1,-1,-1,-1,111,109,55,113,37,594,30,591,9,563,99,562,106,562,129,588
