photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,-1,-1,86,83,114,75,-1,-1,-1,-1,59,93,48,213,5,270,123,285,145,283,89,417,126,539,101,288,45,428,112,554,-1,-1,-1,-1,99,14,48,7,54,586,62,593,128,561,74,536,76,535,139,547
2,-1,-1,92,85,119,79,88,185,-1,-1,65,99,52,211,4,244,125,289,146,286,95,423,125,539,104,293,54,431,114,561,-1,-1,-1,-1,101,10,60,7,65,589,77,593,128,569,83,539,88,535,137,551
3,-1,-1,100,86,126,79,61,195,13,195,76,98,58,211,4,214,128,289,146,286,98,422,130,535,108,293,59,429,120,556,-1,-1,-1,-1,109,11,69,7,75,587,84,593,132,565,93,538,96,538,139,542
4,-1,-1,103,89,126,79,86,169,-1,-1,79,97,49,203,4,176,126,296,146,293,100,429,133,539,107,297,58,430,122,561,-1,-1,-1,-1,109,13,75,7,77,584,88,593,135,569,94,539,96,537,141,549
5,-1,-1,107,89,127,73,-1,-1,-1,-1,82,96,46,189,4,129,127,300,146,294,101,429,135,537,109,303,61,431,125,557,-1,-1,-1,-1,116,14,79,7,83,587,93,593,135,564,97,540,99,537,144,544
6,-1,-1,106,90,128,76,80,111,35,75,83,98,38,174,4,86,128,304,146,301,102,428,135,531,110,304,60,432,125,557,-1,-1,-1,-1,117,19,80,7,82,584,91,593,135,563,97,538,98,538,145,543
7,-1,-1,105,89,126,76,75,94,29,39,83,96,26,148,4,56,126,299,145,295,96,429,136,537,109,304,56,432,125,558,-1,-1,-1,-1,116,20,78,7,81,588,89,593,136,565,96,538,98,541,146,544
8,-1,-1,103,83,125,79,77,83,35,19,82,94,14,129,4,23,124,297,146,296,99,427,134,534,104,300,52,429,123,553,-1,-1,-1,-1,115,21,78,7,78,584,86,593,136,560,92,539,94,539,146,541
9,-1,-1,103,89,126,85,70,71,35,7,80,104,6,116,5,11,125,298,145,295,95,427,136,539,105,299,46,430,121,555,-1,-1,63,10,117,28,72,21,74,581,85,593,138,560,90,539,92,536,145,543
10,-1,-1,101,102,125,93,71,82,44,7,77,109,4,102,15,12,121,302,140,302,99,434,135,537,101,306,53,442,123,558,-1,-1,63,27,114,43,75,34,77,588,88,593,137,568,-1,-1,-1,-1,146,543
