photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,115,14,73,92,104,92,128,206,144,254,35,93,-1,-1,-1,-1,48,292,76,294,128,418,94,571,22,294,60,437,22,552,104,9,-1,-1,86,26,-1,-1,57,560,51,555,6,571,135,584,128,591,85,579
2,100,21,63,98,95,98,121,210,145,229,32,98,50,210,107,238,48,303,70,303,120,416,85,570,25,304,60,434,21,546,96,9,-1,-1,74,26,-1,-1,51,562,47,553,5,565,121,586,112,591,73,586
3,95,18,58,97,90,97,127,209,145,214,31,97,-1,-1,-1,-1,47,306,68,306,117,409,80,566,24,306,58,432,18,545,90,9,-1,-1,69,25,-1,-1,47,558,44,554,5,566,117,582,109,591,69,577
4,91,13,59,100,84,100,132,188,145,150,32,100,-1,-1,-1,-1,44,312,67,312,115,419,79,566,21,312,59,437,17,546,84,9,-1,-1,68,29,-1,-1,46,561,41,555,5,564,111,582,104,591,68,579
5,87,20,56,106,84,106,134,178,145,131,28,106,-1,-1,-1,-1,46,318,67,318,116,419,76,566,23,323,59,438,16,544,81,9,-1,-1,65,32,-1,-1,46,560,40,557,5,560,108,586,102,591,67,577
6,87,20,57,106,84,106,140,154,145,95,33,106,-1,-1,-1,-1,45,318,66,318,117,419,74,568,24,320,63,438,19,541,82,9,-1,-1,63,29,-1,-1,44,560,42,553,5,553,112,586,104,591,66,577
7,88,18,57,103,85,99,145,128,141,54,31,105,-1,-1,-1,-1,46,314,65,314,119,419,77,567,25,314,65,437,17,533,79,9,-1,-1,61,27,-1,-1,44,562,37,553,5,549,110,586,100,591,65,577
8,84,14,55,100,81,99,145,104,135,23,31,104,80,124,114,30,49,317,66,313,117,419,74,562,28,319,61,435,16,537,77,9,-1,-1,61,29,-1,-1,41,555,38,553,5,548,107,582,102,591,63,575
9,86,23,56,102,74,102,145,84,128,9,39,102,88,89,107,21,52,321,70,321,119,426,77,565,33,323,63,439,19,542,79,14,-1,-1,65,32,-1,-1,44,560,41,554,5,558,110,582,103,591,66,577
10,87,37,60,111,80,111,145,81,124,8,38,111,89,96,102,22,53,321,73,321,122,429,78,568,32,321,60,440,15,541,80,27,-1,-1,62,44,-1,-1,44,558,39,556,5,556,114,585,104,592,68,578
11,86,39,59,117,84,113,145,81,119,8,38,117,73,130,-1,-1,53,317,76,317,119,434,76,569,32,319,55,444,18,547,78,28,-1,-1,61,49,-1,-1,42,567,40,562,5,554,110,587,102,592,65,580
12,89,43,62,118,86,117,145,76,116,8,40,118,91,84,96,24,61,313,79,309,116,433,79,570,40,314,55,442,17,546,80,43,-1,-1,65,60,-1,-1,45,561,42,556,5,556,114,587,105,592,67,578
13,85,43,59,113,83,111,145,73,115,8,38,113,91,85,93,25,59,308,82,308,109,439,80,569,37,312,50,444,19,547,80,42,-1,-1,64,57,-1,-1,44,569,38,561,5,560,112,588,103,592,68,577
14,86,42,59,110,82,110,145,71,117,8,41,110,89,87,94,21,62,305,82,305,105,438,79,568,41,307,44,444,17,550,79,38,-1,-1,64,54,-1,-1,45,570,42,565,5,564,115,588,105,592,68,574
15,84,38,57,104,79,104,145,63,114,7,37,104,84,84,93,21,57,297,81,296,96,426,79,559,33,297,42,432,17,541,79,32,-1,-1,60,47,-1,-1,42,571,36,563,5,554,110,591,101,593,67,572
16,86,47,59,113,80,113,145,72,115,7,33,116,-1,-1,-1,-1,58,296,80,296,98,425,84,559,33,297,34,429,17,541,75,44,-1,-1,59,61,-1,-1,36,572,31,567,5,546,115,590,103,593,72,563
17,83,55,58,115,82,115,145,77,118,7,30,115,80,85,96,23,54,292,76,292,91,419,85,553,30,292,32,423,16,534,73,48,-1,-1,58,66,-1,-1,32,574,28,571,5,549,113,593,101,590,73,563
18,76,66,53,123,81,123,144,77,131,7,25,126,82,67,96,9,47,295,73,295,88,421,87,550,25,295,28,421,14,528,70,59,-1,-1,54,79,-1,-1,28,576,23,574,6,544,111,593,104,591,73,559
19,76,81,53,137,82,136,140,80,144,6,22,144,74,81,110,13,45,309,74,306,87,437,90,562,21,306,22,440,9,543,69,80,-1,-1,56,97,-1,-1,25,594,21,592,6,557,76,560,82,560,93,579
20,76,94,45,154,77,148,125,75,144,6,13,159,79,86,113,35,43,317,67,317,79,443,95,570,13,317,13,442,9,549,62,93,-1,-1,49,111,-1,-1,19,594,10,591,6,560,73,560,79,557,95,585
21,78,92,43,150,75,144,111,59,144,6,16,159,-1,-1,-1,-1,43,315,71,315,81,445,96,561,16,315,16,440,6,542,71,90,-1,-1,53,107,-1,-1,22,594,16,594,6,557,74,560,78,560,100,579
22,90,87,55,149,86,147,115,75,143,6,22,152,104,78,136,32,48,310,80,311,97,444,107,573,21,308,22,443,11,544,80,86,-1,-1,62,103,-1,-1,25,594,21,592,7,557,81,564,83,563,115,592
23,91,84,58,148,93,139,124,68,143,6,26,152,113,93,-1,-1,57,311,84,310,93,449,107,572,26,311,26,443,20,544,83,84,-1,-1,70,104,-1,-1,37,594,28,592,7,559,89,569,96,569,107,587
24,89,88,62,148,95,137,122,62,144,6,30,153,121,64,144,19,58,309,88,306,96,446,105,564,30,309,30,441,14,544,86,87,-1,-1,72,104,-1,-1,40,581,39,580,6,557,118,594,-1,-1,102,577
25,90,87,61,149,92,136,117,68,144,6,31,153,85,112,144,15,65,313,89,313,95,446,89,566,39,313,30,443,13,548,85,87,-1,-1,70,102,-1,-1,46,576,43,573,6,559,120,594,114,594,81,576
