photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,50,24,100,80,123,74,-1,-1,-1,-1,73,93,54,205,4,245,124,288,146,281,110,424,136,532,107,295,66,434,123,566,-1,-1,50,11,96,7,59,15,77,589,87,593,136,573,100,539,101,536,146,542
2,57,23,102,81,125,72,-1,-1,-1,-1,73,88,49,196,4,209,125,284,144,276,107,423,137,527,106,288,67,432,123,559,-1,-1,57,9,96,7,67,9,77,584,87,593,136,569,103,536,104,534,146,543
3,60,14,103,85,125,71,71,160,33,149,79,90,44,186,4,163,125,290,145,280,106,426,135,530,106,294,67,431,124,558,-1,-1,62,7,103,10,72,12,82,584,92,593,134,564,110,537,-1,-1,146,541
4,-1,-1,105,90,128,79,71,147,28,131,82,97,40,184,4,125,128,293,145,286,105,435,139,532,111,295,70,438,122,561,-1,-1,64,7,107,15,72,15,83,586,92,593,135,567,84,584,-1,-1,146,547
5,-1,-1,104,87,124,81,75,116,34,68,82,98,32,163,4,82,124,298,143,292,107,433,140,538,108,299,66,440,122,559,-1,-1,67,7,110,18,74,16,84,590,93,593,134,570,84,581,-1,-1,146,549
6,-1,-1,104,91,125,81,73,98,34,43,83,98,23,144,4,45,125,296,144,289,106,436,139,531,106,299,65,440,123,562,-1,-1,69,7,113,23,73,14,83,586,93,593,135,566,123,514,123,514,146,542
7,-1,-1,102,86,123,80,71,86,39,23,79,97,14,122,4,26,123,297,144,290,106,437,138,536,102,299,59,437,122,559,-1,-1,65,7,112,23,73,16,81,589,90,593,134,570,123,522,123,522,146,546
8,59,28,97,96,118,84,66,82,38,7,77,100,4,112,6,9,118,301,140,297,103,436,138,537,97,306,59,438,118,559,-1,-1,61,21,107,32,72,28,79,588,88,593,131,568,-1,-1,-1,-1,146,546
9,-1,-1,98,100,121,97,74,95,52,8,78,111,4,97,10,6,117,299,140,293,104,439,138,537,96,304,59,446,119,568,-1,-1,57,27,111,42,69,38,78,591,87,594,134,574,117,525,-1,-1,146,551
10,-1,-1,98,105,124,98,-1,-1,-1,-1,75,111,4,94,18,6,115,294,136,291,103,431,138,538,94,302,66,439,120,560,-1,-1,57,16,113,47,72,38,72,588,81,594,136,572,72,583,-1,-1,146,547
11,-1,-1,97,109,121,104,-1,-1,-1,-1,72,117,4,88,24,6,110,299,133,296,108,434,135,535,93,301,71,441,121,562,-1,-1,55,32,110,56,72,43,76,592,87,594,134,570,76,581,-1,-1,146,544
12,-1,-1,99,120,127,115,-1,-1,-1,-1,72,126,4,91,27,6,113,302,133,295,111,431,137,536,92,305,78,439,125,559,-1,-1,-1,-1,117,73,80,64,75,592,89,594,139,567,99,543,101,541,146,543
13,-1,-1,95,128,124,126,-1,-1,-1,-1,65,128,5,81,12,5,110,301,134,297,112,427,137,526,91,305,80,438,121,556,-1,-1,63,57,113,79,80,72,72,592,85,595,134,564,108,539,-1,-1,145,539
14,-1,-1,102,127,132,129,86,88,57,8,68,127,11,78,5,5,116,303,141,298,124,427,140,528,96,305,88,434,120,550,-1,-1,74,65,124,92,84,80,76,593,88,595,132,560,102,534,102,533,145,534
15,-1,-1,100,140,131,144,80,79,46,5,70,140,20,83,5,19,116,309,140,307,128,428,140,524,96,311,98,432,114,551,-1,-1,83,81,121,109,88,98,76,593,88,595,128,561,112,536,-1,-1,145,536
16,-1,-1,105,139,131,141,79,63,47,5,77,141,21,88,5,17,119,306,141,302,129,426,139,523,97,308,97,434,113,552,-1,-1,-1,-1,-1,-1,91,104,75,593,91,595,129,556,-1,-1,-1,-1,145,533
17,-1,-1,100,132,131,132,79,61,46,5,73,138,17,82,5,14,114,304,141,297,131,421,133,521,94,308,96,430,112,550,-1,-1,-1,-1,125,97,89,93,67,595,83,595,127,553,-1,-1,-1,-1,145,529
18,-1,-1,99,138,131,136,83,88,37,5,68,142,13,90,5,31,113,308,140,301,131,423,133,523,88,310,97,432,111,552,-1,-1,-1,-1,125,105,83,103,67,595,81,595,129,559,95,535,-1,-1,145,533
19,-1,-1,98,142,129,141,80,87,33,5,68,144,7,87,5,30,113,307,140,305,129,425,134,525,87,309,96,434,110,552,-1,-1,-1,-1,124,102,82,98,64,593,80,595,122,556,98,539,-1,-1,145,534
20,67,61,99,117,127,120,-1,-1,-1,-1,69,122,10,68,5,5,112,297,138,291,129,418,136,526,86,301,97,432,112,550,-1,-1,75,57,116,77,81,70,65,593,81,595,125,559,97,537,-1,-1,145,537
21,-1,-1,96,136,126,134,77,88,22,5,69,138,9,88,5,27,114,309,137,303,130,428,133,533,92,311,94,440,111,555,-1,-1,67,75,118,90,79,86,63,593,77,595,128,565,94,539,-1,-1,145,539
