photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,85,15,45,91,31,91,65,190,143,218,58,91,60,199,114,199,24,287,9,293,64,423,20,556,37,285,86,415,52,549,76,9,-1,-1,50,16,-1,-1,82,563,78,554,48,556,60,587,46,591,7,569
2,50,51,26,124,18,125,48,208,94,212,35,124,45,228,85,228,17,312,7,314,42,439,11,559,26,305,57,427,33,549,44,44,-1,-1,32,53,-1,-1,50,561,49,554,28,558,36,588,27,591,4,570
3,49,57,28,129,20,131,53,194,87,180,36,129,49,226,86,205,18,322,8,323,49,442,12,557,28,318,60,433,30,548,45,49,-1,-1,30,57,-1,-1,50,562,49,555,29,555,36,591,28,591,4,571
4,78,25,44,99,29,99,98,145,144,112,59,99,90,203,131,166,36,310,19,315,82,426,19,554,52,304,100,424,51,544,74,10,-1,-1,50,25,-1,-1,82,555,78,552,49,554,56,588,44,590,6,565
5,81,25,42,98,28,96,97,113,142,64,56,98,113,186,143,98,42,315,21,317,92,430,19,553,57,311,109,430,54,549,76,10,-1,-1,52,25,-1,-1,86,563,81,553,49,555,58,590,45,590,7,563
6,78,33,43,107,23,102,106,86,140,10,60,111,120,173,143,104,42,316,21,316,89,439,18,552,57,314,107,439,53,550,69,25,-1,-1,46,36,-1,-1,81,562,80,552,46,554,57,588,43,590,7,564
7,76,51,42,116,31,116,105,84,128,9,55,116,112,151,144,80,44,320,29,325,88,444,19,553,58,320,108,444,55,553,69,44,-1,-1,49,53,-1,-1,88,571,83,564,51,560,56,589,44,591,6,562
8,95,63,51,117,35,117,125,85,142,9,66,117,125,96,-1,-1,58,320,36,322,109,445,25,558,79,320,131,445,65,555,81,50,-1,-1,60,63,-1,-1,107,574,103,569,62,562,68,591,51,591,8,567
9,79,71,48,123,31,115,105,86,112,8,65,128,132,128,143,40,50,314,35,317,87,444,22,557,67,314,106,449,53,550,70,61,-1,-1,49,68,-1,-1,85,568,80,557,49,555,61,590,45,592,7,568
10,75,65,41,111,28,110,93,74,106,8,56,111,119,126,144,61,52,305,39,308,75,440,22,558,67,305,98,440,52,553,67,58,-1,-1,42,65,-1,-1,80,573,79,568,47,566,53,590,39,592,6,569
11,73,63,42,112,25,112,94,78,106,8,64,112,137,132,143,61,53,285,38,288,66,430,21,555,68,285,94,422,50,545,66,57,-1,-1,44,63,-1,-1,81,566,81,560,45,557,54,592,40,592,7,560
12,97,59,51,106,41,106,121,72,141,7,65,103,141,103,-1,-1,78,276,61,278,78,417,48,554,97,276,114,414,78,541,85,55,-1,-1,61,64,-1,-1,106,575,112,570,9,550,78,593,61,593,27,557
13,34,76,18,127,5,121,48,80,71,7,38,129,80,125,103,66,26,285,12,286,20,411,15,552,37,285,42,411,36,534,26,70,-1,-1,14,81,-1,-1,46,570,50,563,30,538,27,593,17,590,8,557
14,52,81,35,127,6,127,67,77,99,7,63,127,112,105,144,58,39,286,23,288,32,411,23,544,54,286,60,411,57,533,43,77,-1,-1,23,89,-1,-1,67,578,78,566,54,542,48,593,33,590,15,548
15,57,84,37,139,6,139,71,73,100,7,60,133,108,92,144,46,41,293,23,293,37,422,22,543,58,290,65,418,58,534,45,82,57,82,23,98,-1,-1,71,574,77,562,54,538,45,593,28,591,12,556
16,44,88,30,140,6,140,62,76,97,7,59,136,96,88,144,44,43,301,26,301,30,422,14,543,59,298,62,422,57,539,43,88,-1,-1,21,100,-1,-1,72,573,79,563,44,543,38,593,26,591,8,553
17,46,92,28,143,7,144,66,77,102,7,59,137,95,92,143,43,44,299,27,301,39,428,20,547,62,299,67,428,59,540,42,91,-1,-1,23,103,-1,-1,76,575,80,569,48,548,38,593,23,592,7,555
18,54,94,32,144,8,145,69,77,104,7,61,140,100,92,143,39,46,298,28,298,43,430,18,549,65,297,76,430,61,539,46,92,-1,-1,24,102,-1,-1,78,579,84,571,50,549,41,593,24,588,7,551
19,56,96,33,145,7,145,69,80,103,7,60,140,99,92,143,28,47,299,29,301,44,426,19,547,67,299,76,427,62,540,44,92,-1,-1,22,101,-1,-1,78,581,88,575,58,551,42,593,25,592,7,555
