photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,-1,-1,84,80,117,76,101,208,40,250,53,89,42,201,5,269,123,286,145,279,97,414,128,531,99,289,53,423,117,557,-1,-1,-1,-1,97,17,42,7,54,587,67,593,134,564,83,537,84,535,142,541
2,-1,-1,95,80,120,73,86,173,-1,-1,65,88,47,200,5,259,121,288,145,286,99,416,132,531,101,291,58,431,121,558,-1,-1,-1,-1,99,7,57,7,69,581,81,593,134,566,85,538,92,531,145,543
3,-1,-1,100,82,128,77,-1,-1,-1,-1,74,93,52,203,4,239,127,292,146,292,102,423,133,534,107,294,62,430,123,564,-1,-1,-1,-1,108,14,65,7,74,589,85,593,137,571,95,537,97,534,145,546
4,-1,-1,102,81,129,78,-1,-1,-1,-1,77,95,48,193,4,190,126,294,144,294,104,426,138,539,108,296,66,430,125,565,-1,-1,-1,-1,110,11,70,7,80,587,90,593,138,569,97,540,99,536,146,550
5,-1,-1,105,99,130,88,-1,-1,-1,-1,84,105,44,201,4,162,129,299,146,297,102,434,138,538,111,301,66,434,126,560,-1,-1,73,7,111,29,79,22,84,588,92,593,138,571,101,540,102,538,146,547
6,-1,-1,106,89,130,78,-1,-1,-1,-1,82,95,39,173,4,110,127,300,145,296,106,436,136,532,108,304,69,436,126,559,-1,-1,-1,-1,117,13,79,7,86,584,94,593,136,566,99,542,102,542,146,546
7,-1,-1,104,83,126,79,77,96,34,43,82,96,27,151,4,60,125,299,144,294,104,441,136,540,106,301,64,439,123,557,-1,-1,-1,-1,116,10,77,7,85,590,91,593,135,569,97,540,98,540,146,554
8,-1,-1,104,81,125,74,79,78,37,14,83,86,19,125,4,23,123,299,144,289,104,433,135,534,104,301,60,433,123,556,-1,-1,-1,-1,114,9,79,7,81,584,90,593,135,563,-1,-1,-1,-1,146,544
9,-1,-1,100,92,124,79,77,96,-1,-1,80,99,6,114,4,13,120,301,142,299,102,434,135,533,99,305,53,441,122,557,-1,-1,66,7,111,25,75,19,77,589,89,593,133,558,-1,-1,-1,-1,146,540
10,-1,-1,99,113,123,100,65,80,45,7,77,117,4,116,11,24,117,312,136,312,99,445,135,538,98,313,52,447,122,558,-1,-1,62,30,111,51,73,45,75,589,88,593,133,561,-1,-1,-1,-1,146,543
11,-1,-1,97,105,121,102,-1,-1,-1,-1,73,116,4,97,19,7,112,311,134,306,97,444,132,539,94,314,49,444,118,558,-1,-1,59,26,109,47,70,43,73,590,85,593,132,561,-1,-1,-1,-1,146,546
12,-1,-1,97,115,122,110,-1,-1,-1,-1,75,116,4,93,28,6,110,313,133,308,97,436,133,539,92,316,58,450,120,558,-1,-1,58,33,110,57,69,48,75,589,85,594,133,563,92,544,94,542,146,544
13,-1,-1,99,113,128,111,-1,-1,-1,-1,72,120,5,86,30,6,112,307,135,304,99,431,135,536,91,309,62,446,123,556,-1,-1,-1,-1,114,58,74,48,72,591,86,594,138,562,72,583,-1,-1,145,545
14,-1,-1,101,121,131,113,-1,-1,-1,-1,73,124,5,84,33,6,113,303,133,302,103,436,131,539,88,308,67,442,126,560,-1,-1,-1,-1,118,69,77,56,75,592,88,594,141,566,90,551,96,544,145,549
15,-1,-1,103,125,133,125,-1,-1,-1,-1,72,130,5,88,26,6,116,307,135,303,105,434,133,531,89,310,72,438,122,557,-1,-1,72,53,120,77,85,71,72,592,85,594,135,559,89,545,93,542,145,540
16,67,70,101,135,136,138,-1,-1,-1,-1,67,138,5,86,13,5,113,308,136,308,108,431,133,532,87,310,73,440,119,556,-1,-1,71,70,123,92,83,86,69,591,85,595,133,560,89,543,89,543,145,540
17,-1,-1,109,142,143,145,113,112,-1,-1,71,142,17,82,5,5,115,307,143,306,123,430,135,526,93,307,81,433,119,552,-1,-1,79,76,129,98,87,90,73,592,85,595,133,557,95,539,95,538,145,536
18,-1,-1,109,133,142,141,88,79,43,5,72,130,24,79,6,17,119,305,144,303,128,423,134,528,92,306,92,433,119,550,-1,-1,-1,-1,130,106,92,95,73,594,86,595,132,557,93,532,93,532,144,534
19,-1,-1,107,131,138,133,88,65,50,5,81,135,26,76,5,14,119,297,145,295,128,416,136,520,93,299,90,429,114,549,-1,-1,-1,-1,-1,-1,90,91,71,595,88,595,128,551,-1,-1,-1,-1,142,531
20,-1,-1,109,134,142,136,92,81,47,5,78,136,25,77,6,18,122,299,144,295,130,417,136,517,92,303,92,428,108,545,-1,-1,78,77,134,97,90,91,69,595,81,595,125,549,-1,-1,-1,-1,142,525
21,-1,-1,108,133,142,138,88,72,42,5,76,133,24,79,6,18,122,301,144,296,132,418,130,521,93,306,93,429,108,549,-1,-1,78,74,132,94,91,91,66,595,81,595,125,552,-1,-1,-1,-1,144,528
22,-1,-1,111,135,142,133,90,76,44,5,84,139,25,84,6,20,121,303,144,299,135,419,138,522,92,307,92,431,113,551,-1,-1,82,76,-1,-1,92,91,73,595,87,595,128,553,-1,-1,-1,-1,144,534
23,-1,-1,110,134,133,134,85,70,44,5,83,136,28,86,5,26,115,303,145,301,131,424,133,528,94,307,99,433,113,550,-1,-1,83,73,-1,-1,90,89,69,593,85,595,129,559,94,540,-1,-1,145,536
