photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,53,18,73,95,44,80,35,172,5,244,106,105,123,209,82,247,90,281,72,276,32,387,66,497,109,284,68,425,131,561,48,10,64,8,-1,-1,85,15,86,584,99,592,145,566,39,523,41,512,77,510
2,50,25,70,99,41,84,19,170,6,200,104,116,113,227,55,247,89,297,69,286,21,392,65,499,108,301,56,430,131,558,44,8,60,8,-1,-1,85,15,87,587,100,592,144,571,41,519,42,514,77,506
3,50,21,67,97,38,83,10,158,6,182,101,109,103,229,41,227,86,298,65,291,15,397,64,496,103,309,51,439,128,558,41,9,59,9,-1,-1,83,14,87,590,100,591,144,569,38,524,38,517,74,499
4,44,26,65,105,31,87,16,173,-1,-1,97,112,86,228,42,208,82,305,58,293,6,401,58,497,100,314,44,445,128,558,39,10,56,9,-1,-1,82,23,85,590,98,591,144,569,34,525,31,513,73,508
5,44,24,67,98,40,86,31,194,-1,-1,94,107,71,208,30,161,80,301,60,296,6,401,58,495,98,310,42,439,130,553,42,9,56,10,-1,-1,81,17,85,586,98,591,144,565,40,521,40,514,69,499
6,48,17,69,96,44,89,36,185,6,108,93,108,45,180,20,99,78,302,57,297,7,412,67,509,95,310,42,438,130,555,44,9,58,9,-1,-1,82,16,92,588,105,591,144,563,40,546,40,537,82,516
7,44,24,60,89,36,72,6,45,-1,-1,86,100,29,150,20,88,68,296,48,291,6,411,60,505,88,306,40,440,128,557,34,12,55,9,-1,-1,78,12,85,586,95,591,144,569,32,526,32,514,74,514
8,62,55,74,110,52,94,5,76,16,8,90,124,50,145,24,72,79,309,63,301,29,419,75,513,96,313,62,447,130,557,53,38,71,38,43,43,87,50,91,591,103,592,145,569,50,528,52,518,85,518
9,55,31,69,96,50,88,5,49,17,8,90,100,43,102,27,44,77,288,58,287,30,409,69,509,93,291,61,439,131,556,52,20,68,22,-1,-1,90,27,90,591,102,592,145,569,45,531,45,522,81,517
10,62,56,73,115,52,108,5,70,17,7,86,118,46,117,22,19,73,288,61,286,38,413,73,513,86,291,69,433,132,559,57,43,73,50,-1,-1,93,57,93,591,104,593,145,560,49,536,49,527,84,523
11,62,20,72,82,50,75,6,37,16,10,88,88,50,83,29,19,68,261,51,260,39,395,74,505,84,261,74,412,130,544,58,7,74,10,50,16,94,23,92,593,110,593,144,551,46,538,45,527,85,517
12,60,52,72,104,55,103,6,77,6,46,94,108,16,70,24,7,69,274,55,274,41,396,67,519,84,276,84,412,126,541,62,48,69,48,56,50,98,54,98,593,113,591,144,544,37,546,35,538,81,529
13,88,45,88,100,59,97,7,52,7,7,113,102,52,101,-1,-1,80,274,56,271,55,414,59,542,101,275,105,423,122,557,80,36,101,40,68,45,125,59,116,590,143,588,120,568,39,593,34,588,73,554
14,74,30,84,82,56,79,7,50,7,26,111,82,50,62,24,7,71,254,53,252,53,391,56,505,91,254,96,400,127,538,71,24,91,26,-1,-1,113,43,91,593,111,591,143,548,33,552,29,538,71,515
15,82,94,92,136,61,128,29,72,7,6,114,143,48,79,19,14,74,289,52,289,52,414,61,515,95,292,95,421,127,548,77,88,95,91,-1,-1,119,107,90,594,111,594,143,554,35,556,32,543,74,522
16,77,82,83,130,56,128,25,85,8,6,108,137,56,80,14,8,69,283,45,283,52,409,59,518,91,283,100,420,125,546,80,76,88,78,-1,-1,125,103,83,594,103,594,142,549,31,551,22,546,73,528
17,73,78,82,133,48,133,24,88,8,58,118,133,60,78,21,6,69,280,45,280,45,406,55,520,90,280,94,418,121,546,76,74,94,78,-1,-1,121,96,73,594,97,592,142,551,21,553,21,548,73,530
