photo number,nose_x,nose_y,neck_x,neck_y,shoulderR_x,shoulderR_y,elbowR_x,elbowR_y,handR_x,handR_y,shoulder_x,shoulder_y,elbowL_x,elbowL_y,handL_x,handL_y,ass_x,ass_y,legR_x,legR_y,kneeR_x,kneeR_y,feetR_x,feetR_y,legL_x,legL_y,kneeL_x,kneeL_y,feetL_x,feetL_y,eyeR_x,eyeR_y,eyeL_x,eyeL_y,earR_x,earR_y,earL_x,earL_y,footBoardR1_x,footBoardR1_y,footBoardR2_x,footBoardR2_y,footBoardR3_x,footBoardR3_y,footBoardL1_x,footBoardL1_y,footBoardL2_x,footBoardL2_y,footBoardL3_x,footBoardL3_y
1,131,19,86,94,66,101,80,212,144,259,109,86,102,195,141,253,69,285,44,287,79,414,20,546,90,285,131,401,104,523,127,9,-1,-1,103,19,-1,-1,137,555,139,544,90,536,43,591,29,591,6,555
2,114,23,75,100,58,102,82,209,144,232,96,96,92,207,136,230,60,295,40,299,70,426,16,552,81,288,121,408,91,527,106,10,-1,-1,88,23,-1,-1,122,554,123,550,77,539,38,590,25,590,6,558
3,103,23,66,98,48,98,86,189,142,189,85,96,93,210,145,205,57,299,37,301,67,426,16,552,76,297,113,409,84,519,97,10,-1,-1,77,23,-1,-1,113,554,113,548,70,534,35,590,23,590,5,554
4,99,25,64,98,50,100,94,158,141,135,81,90,99,190,145,154,56,301,42,307,71,432,16,547,74,295,112,408,82,522,93,10,-1,-1,74,23,-1,-1,110,553,112,547,69,532,35,590,23,588,5,551
5,96,25,64,94,48,100,101,135,139,100,77,86,113,178,145,120,57,302,39,306,76,437,16,551,77,300,116,412,85,520,93,10,-1,-1,71,20,-1,-1,112,553,113,545,71,527,33,590,18,590,5,551
6,89,25,59,95,45,95,113,84,145,25,71,95,118,154,138,60,57,302,42,310,72,440,14,549,72,298,108,423,79,524,84,10,-1,-1,66,21,-1,-1,107,553,107,547,67,534,30,590,18,588,5,549
7,69,98,44,156,39,156,89,136,105,73,50,156,91,203,110,150,44,346,33,347,58,465,13,552,57,342,87,442,61,537,66,90,-1,-1,52,95,-1,-1,82,563,84,553,52,547,24,592,14,588,4,555
8,67,59,46,112,39,114,84,84,98,10,53,112,86,109,94,72,45,321,33,321,55,453,13,552,56,319,83,431,62,529,62,50,-1,-1,48,59,-1,-1,80,564,83,552,53,534,23,591,15,588,4,552
9,63,67,46,116,40,117,81,85,91,8,49,114,78,93,94,23,46,313,35,315,51,453,13,553,55,313,78,432,59,532,60,59,-1,-1,46,65,-1,-1,78,562,79,553,49,535,23,592,15,589,4,556
10,63,111,46,155,39,155,81,124,91,61,53,155,82,128,93,78,47,328,37,329,48,456,12,554,58,326,79,442,63,537,61,105,-1,-1,46,111,-1,-1,80,566,84,557,55,543,25,593,15,590,4,557
11,67,65,46,106,39,108,84,71,94,7,52,103,83,81,94,22,49,282,39,284,46,427,13,545,60,282,76,412,67,517,61,55,-1,-1,49,64,-1,-1,84,560,85,551,59,526,23,593,14,588,4,545
12,88,59,62,105,49,105,114,72,134,7,75,105,124,89,144,62,67,282,50,283,49,419,20,545,84,282,101,405,101,519,83,55,-1,-1,62,59,-1,-1,109,563,121,562,88,528,34,593,21,592,6,545
13,72,71,53,111,37,111,99,71,125,7,70,111,129,112,144,56,54,279,40,279,28,410,12,541,70,276,85,395,89,507,67,63,-1,-1,45,71,-1,-1,112,559,116,551,76,518,21,593,6,592,12,555
14,62,77,48,122,30,122,86,76,118,7,76,127,119,115,145,52,48,288,34,288,32,409,16,536,62,285,77,405,78,511,60,73,-1,-1,43,82,-1,-1,99,563,104,554,68,518,27,593,14,591,5,542
15,65,83,49,128,30,131,87,73,117,7,70,127,107,102,145,60,49,290,35,290,34,414,14,538,64,287,75,407,77,516,62,77,-1,-1,44,92,-1,-1,91,561,100,554,63,520,27,593,14,592,5,541
16,66,86,49,130,28,130,82,72,113,7,68,128,103,92,145,44,52,295,35,295,36,416,16,541,66,295,77,413,73,518,58,79,-1,-1,41,92,-1,-1,93,565,95,558,63,528,28,593,16,587,5,544
17,68,89,50,138,28,138,81,72,112,6,70,135,107,90,145,43,54,295,36,295,39,418,14,537,70,293,76,418,69,520,57,84,-1,-1,42,93,-1,-1,90,569,95,563,54,532,30,594,16,586,5,542
18,68,83,49,137,27,138,85,74,114,6,73,132,109,91,144,37,54,292,35,292,40,412,15,540,71,292,74,414,68,523,59,79,-1,-1,41,95,-1,-1,85,573,88,560,54,532,29,594,17,590,6,544
